           13107: 0x833d
            1285: 0x833e
            2604: 0x833f
           64897: 0x8340
            1143: 0x8341
           10710: 0x8342
             771: 0x8343
              42: 0x8344
           65535: 0x8345 OK --> x^16 + x^15 + x^13 + x^9 + x^7 + x^6 + 1
             381: 0x8346
           15748: 0x8347
           24564: 0x8348
            6510: 0x8349
           63457: 0x834a
            1905: 0x834b
           21483: 0x834c
           31682: 0x834d
           32767: 0x834e
            3066: 0x834f
            9765: 0x8350
           13107: 0x8351
           57337: 0x8352
            3066: 0x8353
            5115: 0x8354
           32767: 0x8355
            8184: 0x8356
           13107: 0x8357
            4095: 0x8358
            3556: 0x8359
           12282: 0x835a
           63457: 0x835b
           32766: 0x835c
           16383: 0x835d
            8001: 0x835e
            1057: 0x835f
              86: 0x8360
           65535: 0x8361 OK --> x^16 + x^15 + x^10 + x^9 + x^7 + x^6 + 1
            5115: 0x8362
             455: 0x8363
           13107: 0x8364
             744: 0x8365
            1023: 0x8366
           57337: 0x8367
            2667: 0x8368
           32767: 0x8369
            1260: 0x836a
           16383: 0x836b
           24573: 0x836c
            4095: 0x836d
           63457: 0x836e
           10922: 0x836f
            3066: 0x8370
           32766: 0x8371
           32767: 0x8372
           21483: 0x8373
             364: 0x8374
            2170: 0x8375
           63457: 0x8376
           24573: 0x8377
           32767: 0x8378
             381: 0x8379
           13107: 0x837a
           30660: 0x837b
           64897: 0x837c
            4095: 0x837d
            6510: 0x837e
           21845: 0x837f
           57337: 0x8380
           10230: 0x8381
           24573: 0x8382
           57337: 0x8383
           32764: 0x8384
           16383: 0x8385
             255: 0x8386
            1023: 0x8387
           32767: 0x8388
             255: 0x8389
             255: 0x838a
           10668: 0x838b
             510: 0x838c
           10235: 0x838d
            3906: 0x838e
             255: 0x838f
            8190: 0x8390
            7161: 0x8391
           19685: 0x8392
           32767: 0x8393
           57337: 0x8394
           10540: 0x8395
            1022: 0x8396
           16383: 0x8397
           59055: 0x8398
             714: 0x8399
            2232: 0x839a
           21483: 0x839b
           32767: 0x839c
           57337: 0x839d
           16383: 0x839e
           10230: 0x839f
            4095: 0x83a0
           47523: 0x83a1
           63457: 0x83a2
           10922: 0x83a3
           21483: 0x83a4
           32767: 0x83a5
            6132: 0x83a6
           57337: 0x83a7
           47523: 0x83a8
            2728: 0x83a9
            1905: 0x83aa
           63457: 0x83ab
            8890: 0x83ac
           57337: 0x83ad
            7161: 0x83ae
            7905: 0x83af
           21483: 0x83b0
           27559: 0x83b1
           32766: 0x83b2
              60: 0x83b3
           24573: 0x83b4
           65535: 0x83b5 OK --> x^16 + x^15 + x^13 + x^11 + x^10 + x^8 + x^7 + x^6 + 1
           65535: 0x83b6 OK --> x^16 + x^14 + x^13 + x^11 + x^10 + x^8 + x^7 + x^6 + 1
            3556: 0x83b7
           16380: 0x83b8
            4095: 0x83b9
            1785: 0x83ba
           32767: 0x83bb
           65535: 0x83bc OK --> x^16 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + 1
             126: 0x83bd
           32767: 0x83be
           21845: 0x83bf
           30660: 0x83c0
           65535: 0x83c1 OK --> x^16 + x^15 + x^9 + x^8 + x^7 + x^6 + 1
            9271: 0x83c2
           24573: 0x83c3
           47523: 0x83c4
            1190: 0x83c5
            1533: 0x83c6
            3855: 0x83c7
           57337: 0x83c8
           32767: 0x83c9
           23622: 0x83ca
            1285: 0x83cb
             341: 0x83cc
            8190: 0x83cd
            7665: 0x83ce
            5080: 0x83cf
             585: 0x83d0
           24564: 0x83d1
            4095: 0x83d2
             630: 0x83d3
           32766: 0x83d4
           63457: 0x83d5
             381: 0x83d6
            9765: 0x83d7
             252: 0x83d8
           63457: 0x83d9
           21483: 0x83da
             714: 0x83db
             255: 0x83dc
            4599: 0x83dd
             420: 0x83de
           42987: 0x83df
             381: 0x83e0
             341: 0x83e1
           28644: 0x83e2
           63457: 0x83e3
           32767: 0x83e4
            4095: 0x83e5
             630: 0x83e6
            2046: 0x83e7
           31682: 0x83e8
           42987: 0x83e9
             255: 0x83ea
             819: 0x83eb
           63457: 0x83ec
           16380: 0x83ed
            7665: 0x83ee
             693: 0x83ef
           32385: 0x83f0
            2555: 0x83f1
            8190: 0x83f2
           32764: 0x83f3
           57337: 0x83f4
            7665: 0x83f5
            4526: 0x83f6
           21845: 0x83f7
           65535: 0x83f8 OK --> x^16 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + 1
             254: 0x83f9
           32767: 0x83fa
           47523: 0x83fb
             840: 0x83fc
           13107: 0x83fd
            9271: 0x83fe
              91: 0x83ff
           16383: 0x8400
            3906: 0x8401
           32767: 0x8402
           21845: 0x8403
            1736: 0x8404
            3855: 0x8405
           65535: 0x8406 OK --> x^16 + x^14 + x^13 + x^5 + 1
            3810: 0x8407
           32767: 0x8408
           16383: 0x8409
            4369: 0x840a
           32764: 0x840b
           57337: 0x840c
           32767: 0x840d
             126: 0x840e
            3255: 0x840f
             110: 0x8410
           63457: 0x8411
           10668: 0x8412
            4681: 0x8413
            7161: 0x8414
             372: 0x8415
           27559: 0x8416
           64897: 0x8417
           64897: 0x8418
            1365: 0x8419
           32004: 0x841a
           42987: 0x841b
             930: 0x841c
           21845: 0x841d
            4095: 0x841e
           10922: 0x841f
           32767: 0x8420
              85: 0x8421
           57337: 0x8422
            3066: 0x8423
           16383: 0x8424
            4681: 0x8425
           15748: 0x8426
           64897: 0x8427
           18445: 0x8428
           30660: 0x8429
           24573: 0x842a
           63457: 0x842b
           10230: 0x842c
           23622: 0x842d
            1365: 0x842e
             252: 0x842f
           65535: 0x8430 OK --> x^16 + x^11 + x^10 + x^5 + 1
            7665: 0x8431
           31682: 0x8432
           64897: 0x8433
           32767: 0x8434
             420: 0x8435
            1071: 0x8436
           16376: 0x8437
             252: 0x8438
            3906: 0x8439
            1365: 0x843a
            4681: 0x843b
           21845: 0x843c
           10922: 0x843d
            4095: 0x843e
             381: 0x843f
            1092: 0x8440
           42987: 0x8441
           64897: 0x8442
           30705: 0x8443
           64897: 0x8444
           32766: 0x8445
           12282: 0x8446
           57337: 0x8447
             465: 0x8448
           32767: 0x8449
             714: 0x844a
           13107: 0x844b
           32767: 0x844c
             455: 0x844d
           21845: 0x844e
           24564: 0x844f
            7665: 0x8450
            2520: 0x8451
           10235: 0x8452
           23622: 0x8453
            8190: 0x8454
             771: 0x8455
           63457: 0x8456
             455: 0x8457
           32767: 0x8458
            7161: 0x8459
           47523: 0x845a
            4526: 0x845b
           57337: 0x845c
            7161: 0x845d
           32764: 0x845e
           65535: 0x845f OK --> x^16 + x^15 + x^14 + x^13 + x^12 + x^11 + x^9 + x^5 + 1
           63457: 0x8460
            1533: 0x8461
           12264: 0x8462
             315: 0x8463
             819: 0x8464
            5115: 0x8465
            8001: 0x8466
           32766: 0x8467
           32766: 0x8468
           57337: 0x8469
           65535: 0x846a OK --> x^16 + x^14 + x^12 + x^10 + x^9 + x^5 + 1
           24573: 0x846b
             510: 0x846c
           28644: 0x846d
            4681: 0x846e
           65535: 0x846f OK --> x^16 + x^15 + x^14 + x^13 + x^12 + x^10 + x^9 + x^5 + 1
            5334: 0x8470
           65535: 0x8471 OK --> x^16 + x^15 + x^11 + x^10 + x^9 + x^5 + 1
           21483: 0x8472
            4340: 0x8473
           13107: 0x8474
              62: 0x8475
           10230: 0x8476
           16383: 0x8477
